bin,dB
3780,-99.9901886
3800,-92.3115979
3820,-98.1101856
3840,-95.2036305
3860,-91.03447539999999
3880,-102.8259278
3900,-99.8000031
3920,-94.1703091
3940,-89.1497059
3960,-96.0788594
3980,-95.6018124
4000,-92.9832249
4020,-103.5470734
4040,-102.576622
4060,-101.5260315
4080,-91.9676266
4100,-93.65550809999999
4120,-99.11951450000001
4140,-93.51343729999999
4160,-111.3493653
4180,-102.3638306
4200,-90.5092984
4220,-92.3788319
4240,-92.6523991
4260,-99.5716248
4280,-101.993393
4300,-98.0034428
4320,-96.716631
4340,-96.0289784
4360,-99.9068222
4380,-106.89813240000001
4400,-105.3836594
4420,-99.1720658
4440,-95.7732411
4460,-102.0470276
4480,-103.7165146
4500,-92.6541004
4520,-96.8131199
4540,-99.6092682
4560,-106.2178116
4580,-92.6840039
4600,-93.9426251
4620,-96.550642
4640,-94.7132321
4660,-92.6436672
4680,-95.9226589
4700,-100.7919007
4720,-93.5404835
4740,-99.1176834
4760,-97.15088850000001
4780,-98.1480847
4800,-112.1862335
4820,-88.8660527
4840,-92.8613606
4860,-98.4299298
4880,-97.1590138
4900,-97.093874
4920,-94.9444599
4940,-91.9786244
4960,-86.9270573
4980,-97.479765
5000,-74.50707057
5020,-92.7266941
5040,-91.9067822
5060,-101.0947113
5080,-96.149271
5100,-98.2075062
5120,-94.6656628
5140,-93.8941174
5160,-98.8305435
5180,-90.600565
5200,-89.8000012
5220,-101.0786286
5240,-92.714613
5260,-92.5054035
5280,-99.3835449
5300,-94.5777111
5320,-100.1546784
5340,-93.1097813
5360,-96.4594631
5380,-96.7309933
5400,-97.5711613
5420,-98.915062
5440,-106.26459510000001
5460,-93.3930607
5480,-111.8462754
5500,-92.7060719
5520,-99.352829
5540,-94.245493
5560,-98.5017948
5580,-94.8562222
5600,-94.5962887
5620,-92.1318035
5640,-95.2331028
5660,-96.4236622
5680,-99.73158269999999
5700,-99.1384278
5720,-97.2392979
5740,-98.8899994
5760,-104.9224472
5780,-107.9837876
5800,-95.066164
5820,-92.6052189
5840,-101.6181031
5860,-92.2087078
5880,-114.30644989999999
5900,-96.7091999
5920,-103.9522782
5940,-100.9360428
5960,-110.0820236
5980,-98.6236267
6000,-96.9503842
6020,-99.2172165
6040,-106.594307
6060,-95.3144284
6080,-102.4390869
6100,-97.5361042
6120,-106.8283615
6140,-92.5637226
6160,-105.5731507
6180,-98.5742665
6200,-98.73831179999999
6220,-91.2078266
6240,-86.3584996
6260,-107.519249
6280,-92.87901120000001
6300,-108.46493530000001
6320,-102.6914139
6340,-98.185587
6360,-97.7220707
6380,-98.124197
6400,-94.9662228
6420,-92.5673733
6440,-94.7079563
6460,-102.54696659999999
6480,-101.18116760000001
6500,-96.8226414
6520,-91.8429775
6540,-101.5305023
6560,-92.5432072
6580,-105.86880500000001
6600,-122.1766205
6620,-94.7108021
6640,-95.5066624
6660,-98.9604416
6680,-96.3457089
6700,-95.68627359999999
6720,-107.4183426
6740,-107.5993271
6760,-95.4601116
6780,-100.0066071
6800,-94.6947804
6820,-95.73044780000001
6840,-99.8359452
6860,-97.34451490000001
6880,-93.9925022
6900,-96.8449879
6920,-97.54986
6940,-100.82601170000001
6960,-92.4393482
6980,-98.0194569
7000,-89.1030331
7020,-93.6688557
7040,-92.4994145
7060,-102.0098954
7080,-96.4710675
7100,-105.0746994
7120,-93.9637966
7140,-97.8490467
7160,-99.0150528
7180,-93.647276
7200,-100.0023117
7220,-98.0746823
7240,-102.0914383
7260,-95.7909489
7280,-92.4860554
7300,-101.7536011
7320,-102.4050751
7340,-100.2299881
7360,-91.410101
7380,-95.1050625
7400,-96.1899777
7420,-99.8471909
7440,-110.0283127
7460,-94.0429249
7480,-97.0383282
7500,-104.00317390000001
7520,-92.4312954
7540,-93.9266835
7560,-108.9456482
7580,-101.2911225
7600,-103.4163742
7620,-104.063385
7640,-91.7916165
7660,-95.1521511
7680,-104.860672
7700,-98.63337709999999
7720,-98.3194027
7740,-96.5224819
7760,-98.69419099999999
7780,-96.2828541
7800,-107.64933020000001
7820,-103.4485932
7840,-102.866478
7860,-99.84130859999999
7880,-103.6436234
7900,-107.7196503
7920,-99.1843109
7940,-90.52636150000001
7960,-95.7082157
7980,-97.69582940000001
8000,-102.2645874
8020,-95.2575856
8040,-107.4045258
8060,-95.0832424
8080,-106.24192049999999
8100,-93.0680523
8120,-97.3291722
8140,-99.3832245
8160,-100.31980899999999
8180,-101.9644394
8200,-103.00382239999999
8220,-93.88585090000001
8240,-94.41041
8260,-94.5075398
8280,-104.2716675
8300,-95.1130886
8320,-92.2915211
8340,-100.3714295
8360,-91.9023915
8380,-96.0366116
8400,-97.8180943
8420,-97.0758534
8440,-95.0476628
8460,-92.01439859999999
8480,-99.42407990000001
8500,-95.7721501
8520,-104.9765549
8540,-98.38624
8560,-95.855547
8580,-100.1480637
8600,-124.0976181
8620,-93.3882923
8640,-98.576376
8660,-93.6565457
8680,-96.18915369999999
